题号    答案
246      40
247      5'29/32
248      4'1/12
249      5/21
250      3'5/8
251      10'3/7
252      5/9
253      4'29/40
254      0
255      10'10/21
256      4'5/6
257      1/3
258      28
259      2'1/72
260      3/7
261      34'1/2
262      11'2/5
263      8/15
264      251/252
265      7/18
266      1'13/21
267      11'1/4
268      9'1/40
269      6
270      5'1/7
271      -4
272      4'4/9
273      -2
274      30'3/5
275      -4'1/2
276      5'4/5
277      1'26/45
278      3/5
279      4
280      -6
281      3'1/2
282      28
283      10
284      5'1/3
285      -27'1/3
286      7
287      -3'9/10
288      7'1/5
289      5
290      -3'1/2
291      2/5
292      5'1/3
293      1'8/9
294      -2
295      1/2
296      -34/45
297      14'3/10
298      3/7
299      -3'1/2
300      29
301      1'1/4
302      8'3/4
303      5'1/4
304      14/15
305      2'1/18
306      53
307      3/7
308      28
309      2'1/36
310      3'6/7
311      -3
312      4
313      -8'3/5
314      450
315      1'1/2
316      99
317      -10
318      34
319      1'5/8
320      -8'53/90
321      -2/3
322      -56'1/2
323      1/6
324      9'71/80
325      -9'5/7
326      1'4/45
327      9'1/2
328      4'7/10
329      8'11/18
330      1'1/9
331      -26
332      20'5/18
333      17'1/2
334      1
335      -10'1/2
336      4'4/9
337      2'3/8
338      6/25
339      63'7/10
340      8'38/45
341      6'2/9
342      -1
343      2'1/4
344      5'1/4
345      -37/45
346      3'7/15
347      1'5/7
348      112'1/2
349      78'1/3
350      15
351      6'1/2
352      64
353      10/11
354      4/5
355      13/25
356      2'1/2
357      5'7/15
358      16'2/3
359      -3/4
360      54
361      1'1/2
362      1'5/7
363      2'2/15
364      7
365      2'9/10
366      -8'3/4
367      1/3
368      1'2/3
369      54
370      14
371      61
372      34
373      1'3/7
374      -9'5/12
375      3/7
376      5/12
377      11'8/9
378      1'1/10
379      31'1/9
380      -4
381      -84
382      65/72
383      -4'2/9
384      9'1/3
385      1/4
386      4
387      72
388      -7/10
389      2'7/10
390      6'1/6
391      -2'5/27
392      2'19/56
393      -27'1/3
394      75
395      36
396      11'3/7
397      4'7/12
398      6'2/3
399      3/7
400      1/32
401      5
402      9/10
403      5'11/15
404      2
405      8'1/2
406      1'2/3
407      7/45
408      34/45
409      -2'15/56
410      2'33/56
411      5'1/9
412      110
413      1'1/5
414      49
415      20
416      14/27
417      4'4/9
418      4'4/9
419      210
420      1'31/40
421      6'2/9
422      3'1/3
423      2
424      5'2/5
425      2/3
426      1'31/49
427      1'1/14
428      9
429      1'7/9
430      2'7/40
431      3'3/4
432      7'1/2
433      80
434      8'43/50
435      153
436      1'12/35
437      15/38
438      7
439      8'1/9
440      14
441      15
442      -1
443      4
444      -3'2/5
445      14
446      -9'3/7
447      5'19/25
448      10'2/3
449      405
450      1/6
451      1/5
452      12'13/14
453      8'11/20
454      1'1/2
455      -5/9
456      1/4
457      5'13/30
458      -7'1/2
459      12/119
460      8/9
461      -6'1/2
462      -3
463      2/45
464      -4'1/2
465      2'1/4
466      7/45
467      -11
468      1'13/30
469      -28/45
470      8
471      7
472      30
473      7'8/9
474      6
475      1/3
476      4/9
477      13'4/5
478      5'7/10
479      2'4/7
480      10'2/3
481      17'8/9
482      4'4/5
483      5'5/12
484      3
485      2'3/4
486      0
487      11
488      1'3/4
489      2'2/7
490      -7/24
491      15
492      54
493      5/14
494      54
495      18'2/3
496      15/28
497      4/35
498      10
499      11'4/7
500      8'1/6
501      3'1/2
502      7
503      3'3/14
504      1'1/3
505      2
506      -9/10
507      -4'1/3
508      -36
509      6
510      1'1/2
511      1'25/63
512      -11/49
513      -19/28
514      5/16
515      1/8
516      1'7/12
517      5
518      15/16
519      15
520      18'2/3
521      88
522      15
523      2
524      3'1/5
525      7'11/15
526      -14'11/12
527      3/5
528      -3'9/35
529      3/10
530      13/45
531      5'29/35
532      15
533      15'3/4
534      -3'4/5
535      6'7/10
536      -2/3
537      16'1/24
538      1/88
539      1
540      -2/3
541      -3'2/5
542      14'5/9
543      4'3/8
544      7'9/10
545      5'1/4
546      5'9/25
547      8'7/10
548      -6'1/7
549      2
550      5'1/2
551      49/60
552      216
553      6
554      1/50
555      1/2
556      3'1/4
557      2/567
558      1'1/5
559      -11'1/2
560      5/9
561      1'11/48
562      10'1/2
563      3/28
564      2/3
565      10'2/7
566      26'2/3
567      7'7/9
568      -8'1/3
569      -2'3/4
570      1'1/29
571      -86
572      5'4/7
573      1'15/17
574      5
575      -11'4/5
576      1'3/4
577      8
578      2'4/9
579      4'4/15
580      2'53/81
581      1
582      6'1/8
583      -1
584      4'2/5
585      12
586      6'11/18
587      -8
588      5/12
589      39
590      216
591      12'2/7
592      2'5/8
593      -82/315
594      60
595      -4/9
596      6'3/5
597      -3'1/2
598      -2'2/3
599      1'1/2
600      0
601      -19/60
602      11/15
603      4
604      7'3/4
605      3'1/6
606      7'5/18
607      70
608      3'2/9
609      13'1/3
610      6
611      -9'1/5
612      85
613      2'5/8
614      9'2/3
615      7'1/30
616      24
617      -20
618      3'3/5
619      10'10/21
620      5
621      6'1/3
622      3
623      -4'1/2
624      135
625      10/107
626      15'3/7
627      11'23/35
628      12
629      15
630      12/25
631      17
632      7/16
633      2'1/2
634      1
635      3/5
636      -3'11/14
637      -3
638      4'8/9
639      29
640      1/2
641      5/8
642      -3'1/8
643      5'3/5
644      -3
645      20
646      1/4
647      7/20
648      3'11/45
649      8'1/6
650      42
651      6
652      2
653      336
654      15'5/7
655      16'1/3
656      1
657      3
658      19'3/5
659      4'3/4
660      9
661      8
662      -5'8/9
663      4'9/56
664      13'5/9
665      2/17
666      -7/12
667      16'1/6
668      -7/32
669      14
670      -2'32/35
671      13
672      9
673      3
674      21/40
675      9
676      6'1/5
677      4'7/36
678      33
679      -33
680      1/3
681      5/32
682      -11'1/2
683      12
684      4'9/10
685      3'1/6
686      7/20
687      15
688      2
689      8'37/42
690      9
691      8/15
692      7'1/2
693      14
694      -3'3/5
695      -9
696      -15'6/7
697      2'11/15
698      3/25
699      8'1/2
700      6'2/3
701      12'4/5
702      1'3/5
703      11/12
704      -1/84
705      1'1/7
706      6/7
707      7
708      6/7
709      4'11/16
710      4'1/5
711      9/10
712      50
713      7/9
714      -1/3
715      150
716      13/14
717      2/63
718      16
719      7'1/3
720      -6'7/10
721      -2'47/48
722      -4'5/6
723      7/25
724      -6
725      14
726      7
727      16'2/3
728      10'2/5
729      5'1/8
730      -2'1/3
731      17'1/3
732      4/27
733      -1
734      9/20
735      100
736      18
737      1'8/9
738      78
739      4
740      1'1/6
741      3'1/2
742      -11'1/40
743      6'2/3
744      18/49
745      5'1/2
746      3'1/7
747      -6'2/9
748      -2'1/2
749      2/5
750      35/128
751      31'1/2
752      9'1/9
753      1/3
754      -2/7
755      14'1/3
756      -4'1/2
757      34
758      20'1/7
759      -59/120
760      6'1/56
761      9'3/7
762      15'5/8
763      -30
764      2'14/45
765      38
766      18
767      -1
768      18/25
769      2'3/5
770      3
771      1'13/63
772      -15'2/7
773      40/49
774      47/56
775      -9'1/3
776      7/8
777      27/100
778      7'10/21
779      1/4
780      36
781      1'1/8
782      2'4/9
783      1'1/6
784      -31'1/6
785      36
786      28
787      1
788      4/27
789      3/56
790      11'6/7
791      7/20
792      7
793      5'5/9
794      4'27/28
795      8'1/2
796      11/18
797      22
798      30
799      37
800      1/21
801      8'1/2
802      1/10
803      1/5
804      2
805      10'11/14
806      -28'1/12
807      9
808      -2'2/5
809      1/3
810      12'1/4
811      7'32/35
812      8'2/3
813      2'2/3
814      0
815      4'2/3
816      -3'1/6
817      35
818      1
819      45
820      1'13/15
821      2'13/16
822      3'3/4
823      -6'2/3
824      2'4/5
825      7'5/7
826      4'7/12
827      2/9
828      -2'3/14
829      32
830      1'1/54
831      -2'1/9
832      1'1/2
833      4'5/9
834      3'17/21
835      14
836      42
837      -4'3/4
838      4'1/9
839      8
840      8'3/5
841      7/45
842      56
843      -3'31/36
844      21
845      96
846      1'7/8
847      2'1/3
848      1'1/5
849      28'2/3
850      6
851      1'3/4
852      -10/21
853      4'1/4
854      26
855      5'17/36
856      2'1/2
857      1'1/5
858      13
859      9'4/5
860      3'1/7
861      6'1/4
862      -4/5
863      6
864      900
865      -9
866      8'41/56
867      12'7/15
868      -2
869      1'2/5
870      6'2/5
871      20'2/9
872      20
873      6
874      1'1/2
875      17/36
876      21
877      5'1/5
878      14
879      3
880      35'5/9
881      37
882      20'2/5
883      -2'1/2
884      2/3
885      1'1/6
886      20
887      1/24
888      -3'3/4
889      1'3/10
890      4'4/21
891      3'1/3
892      11'3/5
893      0
894      1/10
895      47
896      1'2/3
897      1'43/60
898      4'1/8
899      6/25
900      9'1/3
901      1/50
902      1'3/5
903      1'1/3
904      -5
905      19
906      -89
907      30
908      7
909      1/32
910      3/8
911      9'1/36
912      -7'3/4
913      3/7
914      1/34
915      23/30
916      9/20
917      12'1/2
918      2'3/16
919      1'5/9
920      1'199/280
921      8'13/14
922      4'2/5
923      -7'9/10
924      1'1/4
925      14
926      54
927      18'9/10
928      7'1/2
929      20
930      9'14/15
931      -38'1/2
932      -4'1/8
933      7/20
934      -5/6
935      23'17/20
936      8'1/2
937      1/40
938      13'2/3
939      18
940      -8'2/7
941      -8
942      5'1/3
943      2/33
944      5'2/5
945      1/6
946      7/75
947      7'1/8
948      7/12
949      12'3/8
950      -19
951      12'2/5
952      -18'1/2
953      6'2/3
954      2/9
955      9'2/5
956      5'5/14
957      2'5/7
958      -9
959      25
960      63
961      -4'2/5
962      1'1/2
963      -43/72
964      1'1/8
965      9'2/3
966      -2
967      5'1/2
968      3'1/4
969      15
970      3/10
971      10'1/3
972      10/13
973      5'11/14
974      -6'1/3
975      9/20
976      -4
977      11'2/5
978      9'3/5
979      21'4/5
980      2'8/9
981      15/26
982      1'3/7
983      4'1/2
984      1/4
985      84
986      1'3/5
987      2/5
988      6'1/2
989      2'1/7
990      20/21
991      199/270
992      2'2/5
993      -16/35
994      2'4/5
995      56
996      6/11
997      9
998      1'5/16
999      19'1/8
1000     21
